N,a,version,num_qubits,num_gates,gate_types
143,57,0,19,26345,"{'CNOT': 336, 'PhaseShift': 1015, 'C_C_PhaseShift': 2724, 'Toffoli': 56, 'ControlledPhaseShift': 17773, 'Hadamard': 4208, 'PauliX': 233}"
143,28,1,19,19276,"{'CNOT': 272, 'PhaseShift': 727, 'C_C_PhaseShift': 2116, 'Toffoli': 56, 'ControlledPhaseShift': 12880, 'Hadamard': 3056, 'PauliX': 169}"
143,28,0,19,26357,"{'CNOT': 336, 'PhaseShift': 1015, 'C_C_PhaseShift': 2733, 'Toffoli': 56, 'ControlledPhaseShift': 17776, 'Hadamard': 4208, 'PauliX': 233}"
143,25,1,19,18969,"{'CNOT': 270, 'PhaseShift': 718, 'C_C_PhaseShift': 2014, 'Toffoli': 56, 'ControlledPhaseShift': 12724, 'Hadamard': 3020, 'PauliX': 167}"
143,25,0,19,26369,"{'CNOT': 336, 'PhaseShift': 1015, 'C_C_PhaseShift': 2748, 'Toffoli': 56, 'ControlledPhaseShift': 17773, 'Hadamard': 4208, 'PauliX': 233}"
143,93,1,19,21741,"{'CNOT': 294, 'PhaseShift': 826, 'C_C_PhaseShift': 2361, 'Toffoli': 56, 'ControlledPhaseShift': 14561, 'Hadamard': 3452, 'PauliX': 191}"
143,93,0,19,26355,"{'CNOT': 336, 'PhaseShift': 1015, 'C_C_PhaseShift': 2733, 'Toffoli': 56, 'ControlledPhaseShift': 17774, 'Hadamard': 4208, 'PauliX': 233}"
143,90,1,19,21286,"{'CNOT': 290, 'PhaseShift': 808, 'C_C_PhaseShift': 2308, 'Toffoli': 56, 'ControlledPhaseShift': 14257, 'Hadamard': 3380, 'PauliX': 187}"
143,90,0,19,26345,"{'CNOT': 336, 'PhaseShift': 1015, 'C_C_PhaseShift': 2721, 'Toffoli': 56, 'ControlledPhaseShift': 17776, 'Hadamard': 4208, 'PauliX': 233}"
323,2,1,21,28434,"{'CNOT': 342, 'PhaseShift': 998, 'C_C_PhaseShift': 2937, 'Toffoli': 72, 'ControlledPhaseShift': 19701, 'Hadamard': 4176, 'PauliX': 208}"
323,2,0,21,40290,"{'CNOT': 432, 'PhaseShift': 1448, 'C_C_PhaseShift': 3813, 'Toffoli': 72, 'ControlledPhaseShift': 28251, 'Hadamard': 5976, 'PauliX': 298}"
323,311,1,21,35846,"{'CNOT': 398, 'PhaseShift': 1278, 'C_C_PhaseShift': 3518, 'Toffoli': 72, 'ControlledPhaseShift': 25020, 'Hadamard': 5296, 'PauliX': 264}"
323,311,0,21,40352,"{'CNOT': 432, 'PhaseShift': 1448, 'C_C_PhaseShift': 3876, 'Toffoli': 72, 'ControlledPhaseShift': 28250, 'Hadamard': 5976, 'PauliX': 298}"
323,137,1,21,34299,"{'CNOT': 386, 'PhaseShift': 1218, 'C_C_PhaseShift': 3437, 'Toffoli': 72, 'ControlledPhaseShift': 23878, 'Hadamard': 5056, 'PauliX': 252}"
323,137,0,21,40386,"{'CNOT': 432, 'PhaseShift': 1448, 'C_C_PhaseShift': 3912, 'Toffoli': 72, 'ControlledPhaseShift': 28248, 'Hadamard': 5976, 'PauliX': 298}"
323,24,1,21,34573,"{'CNOT': 388, 'PhaseShift': 1228, 'C_C_PhaseShift': 3464, 'Toffoli': 72, 'ControlledPhaseShift': 24071, 'Hadamard': 5096, 'PauliX': 254}"
323,24,0,21,40407,"{'CNOT': 432, 'PhaseShift': 1448, 'C_C_PhaseShift': 3930, 'Toffoli': 72, 'ControlledPhaseShift': 28251, 'Hadamard': 5976, 'PauliX': 298}"
323,237,1,21,35952,"{'CNOT': 398, 'PhaseShift': 1278, 'C_C_PhaseShift': 3625, 'Toffoli': 72, 'ControlledPhaseShift': 25019, 'Hadamard': 5296, 'PauliX': 264}"
323,237,0,21,40414,"{'CNOT': 432, 'PhaseShift': 1448, 'C_C_PhaseShift': 3939, 'Toffoli': 72, 'ControlledPhaseShift': 28249, 'Hadamard': 5976, 'PauliX': 298}"
323,276,1,21,35646,"{'CNOT': 396, 'PhaseShift': 1268, 'C_C_PhaseShift': 3561, 'Toffoli': 72, 'ControlledPhaseShift': 24831, 'Hadamard': 5256, 'PauliX': 262}"
323,276,0,21,40419,"{'CNOT': 432, 'PhaseShift': 1448, 'C_C_PhaseShift': 3942, 'Toffoli': 72, 'ControlledPhaseShift': 28251, 'Hadamard': 5976, 'PauliX': 298}"
323,65,1,21,32389,"{'CNOT': 372, 'PhaseShift': 1148, 'C_C_PhaseShift': 3238, 'Toffoli': 72, 'ControlledPhaseShift': 22545, 'Hadamard': 4776, 'PauliX': 238}"
323,65,0,21,40395,"{'CNOT': 432, 'PhaseShift': 1448, 'C_C_PhaseShift': 3924, 'Toffoli': 72, 'ControlledPhaseShift': 28245, 'Hadamard': 5976, 'PauliX': 298}"
323,195,1,21,32438,"{'CNOT': 372, 'PhaseShift': 1148, 'C_C_PhaseShift': 3282, 'Toffoli': 72, 'ControlledPhaseShift': 22550, 'Hadamard': 4776, 'PauliX': 238}"
323,195,0,21,40403,"{'CNOT': 432, 'PhaseShift': 1448, 'C_C_PhaseShift': 3927, 'Toffoli': 72, 'ControlledPhaseShift': 28250, 'Hadamard': 5976, 'PauliX': 298}"
323,42,1,21,33818,"{'CNOT': 382, 'PhaseShift': 1198, 'C_C_PhaseShift': 3441, 'Toffoli': 72, 'ControlledPhaseShift': 23501, 'Hadamard': 4976, 'PauliX': 248}"
323,42,0,21,40443,"{'CNOT': 432, 'PhaseShift': 1448, 'C_C_PhaseShift': 3966, 'Toffoli': 72, 'ControlledPhaseShift': 28251, 'Hadamard': 5976, 'PauliX': 298}"
323,284,1,21,12602,"{'CNOT': 142, 'PhaseShift': 443, 'C_C_PhaseShift': 1230, 'Toffoli': 27, 'ControlledPhaseShift': 8801, 'Hadamard': 1866, 'PauliX': 93}"
323,284,0,21,15297,"{'CNOT': 162, 'PhaseShift': 543, 'C_C_PhaseShift': 1485, 'Toffoli': 27, 'ControlledPhaseShift': 10701, 'Hadamard': 2266, 'PauliX': 113}"
1517,2,1,25,65972,"{'CNOT': 560, 'PhaseShift': 2050, 'C_C_PhaseShift': 5939, 'Toffoli': 110, 'ControlledPhaseShift': 48493, 'Hadamard': 8468, 'PauliX': 352}"
1517,2,0,25,84122,"{'CNOT': 660, 'PhaseShift': 2650, 'C_C_PhaseShift': 7089, 'Toffoli': 110, 'ControlledPhaseShift': 62293, 'Hadamard': 10868, 'PauliX': 452}"
1517,602,1,25,71594,"{'CNOT': 590, 'PhaseShift': 2230, 'C_C_PhaseShift': 6461, 'Toffoli': 110, 'ControlledPhaseShift': 52633, 'Hadamard': 9188, 'PauliX': 382}"
1517,602,0,25,84365,"{'CNOT': 660, 'PhaseShift': 2650, 'C_C_PhaseShift': 7332, 'Toffoli': 110, 'ControlledPhaseShift': 62293, 'Hadamard': 10868, 'PauliX': 452}"
1517,1289,1,25,72999,"{'CNOT': 598, 'PhaseShift': 2278, 'C_C_PhaseShift': 6509, 'Toffoli': 110, 'ControlledPhaseShift': 53734, 'Hadamard': 9380, 'PauliX': 390}"
1517,1289,0,25,84353,"{'CNOT': 660, 'PhaseShift': 2650, 'C_C_PhaseShift': 7323, 'Toffoli': 110, 'ControlledPhaseShift': 62290, 'Hadamard': 10868, 'PauliX': 452}"
1517,1268,1,25,75482,"{'CNOT': 612, 'PhaseShift': 2362, 'C_C_PhaseShift': 6609, 'Toffoli': 110, 'ControlledPhaseShift': 55669, 'Hadamard': 9716, 'PauliX': 404}"
1517,1268,0,25,84320,"{'CNOT': 660, 'PhaseShift': 2650, 'C_C_PhaseShift': 7287, 'Toffoli': 110, 'ControlledPhaseShift': 62293, 'Hadamard': 10868, 'PauliX': 452}"
1517,742,1,25,72836,"{'CNOT': 598, 'PhaseShift': 2278, 'C_C_PhaseShift': 6343, 'Toffoli': 110, 'ControlledPhaseShift': 53737, 'Hadamard': 9380, 'PauliX': 390}"
1517,742,0,25,84149,"{'CNOT': 660, 'PhaseShift': 2650, 'C_C_PhaseShift': 7116, 'Toffoli': 110, 'ControlledPhaseShift': 62293, 'Hadamard': 10868, 'PauliX': 452}"
1517,395,1,25,70608,"{'CNOT': 586, 'PhaseShift': 2206, 'C_C_PhaseShift': 6156, 'Toffoli': 110, 'ControlledPhaseShift': 52080, 'Hadamard': 9092, 'PauliX': 378}"
1517,395,0,25,84178,"{'CNOT': 660, 'PhaseShift': 2650, 'C_C_PhaseShift': 7146, 'Toffoli': 110, 'ControlledPhaseShift': 62292, 'Hadamard': 10868, 'PauliX': 452}"
1517,1444,1,25,5765,"{'CNOT': 50, 'PhaseShift': 169, 'C_C_PhaseShift': 509, 'Toffoli': 11, 'ControlledPhaseShift': 4249, 'Hadamard': 746, 'PauliX': 31}"
1517,1444,0,25,8702,"{'CNOT': 66, 'PhaseShift': 265, 'C_C_PhaseShift': 726, 'Toffoli': 11, 'ControlledPhaseShift': 6457, 'Hadamard': 1130, 'PauliX': 47}"
1517,144,1,25,68378,"{'CNOT': 574, 'PhaseShift': 2134, 'C_C_PhaseShift': 5965, 'Toffoli': 110, 'ControlledPhaseShift': 50425, 'Hadamard': 8804, 'PauliX': 366}"
1517,144,0,25,84131,"{'CNOT': 660, 'PhaseShift': 2650, 'C_C_PhaseShift': 7098, 'Toffoli': 110, 'ControlledPhaseShift': 62293, 'Hadamard': 10868, 'PauliX': 452}"
1517,95,1,25,71188,"{'CNOT': 588, 'PhaseShift': 2218, 'C_C_PhaseShift': 6396, 'Toffoli': 110, 'ControlledPhaseShift': 52356, 'Hadamard': 9140, 'PauliX': 380}"
1517,95,0,25,84229,"{'CNOT': 660, 'PhaseShift': 2650, 'C_C_PhaseShift': 7197, 'Toffoli': 110, 'ControlledPhaseShift': 62292, 'Hadamard': 10868, 'PauliX': 452}"
1517,1356,1,25,71139,"{'CNOT': 588, 'PhaseShift': 2218, 'C_C_PhaseShift': 6346, 'Toffoli': 110, 'ControlledPhaseShift': 52357, 'Hadamard': 9140, 'PauliX': 380}"
1517,1356,0,25,84275,"{'CNOT': 660, 'PhaseShift': 2650, 'C_C_PhaseShift': 7242, 'Toffoli': 110, 'ControlledPhaseShift': 62293, 'Hadamard': 10868, 'PauliX': 452}"
4757,2,1,29,125194,"{'CNOT': 806, 'PhaseShift': 3470, 'C_C_PhaseShift': 10105, 'Toffoli': 156, 'ControlledPhaseShift': 95901, 'Hadamard': 14248, 'PauliX': 508}"
4757,2,0,29,156397,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 11928, 'Toffoli': 156, 'ControlledPhaseShift': 120471, 'Hadamard': 17888, 'PauliX': 638}"
4757,1868,1,29,135899,"{'CNOT': 850, 'PhaseShift': 3778, 'C_C_PhaseShift': 10866, 'Toffoli': 156, 'ControlledPhaseShift': 104217, 'Hadamard': 15480, 'PauliX': 552}"
4757,1868,0,29,156463,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 11994, 'Toffoli': 156, 'ControlledPhaseShift': 120471, 'Hadamard': 17888, 'PauliX': 638}"
4757,2372,1,29,134460,"{'CNOT': 844, 'PhaseShift': 3736, 'C_C_PhaseShift': 10783, 'Toffoli': 156, 'ControlledPhaseShift': 103083, 'Hadamard': 15312, 'PauliX': 546}"
4757,2372,0,29,156664,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 12195, 'Toffoli': 156, 'ControlledPhaseShift': 120471, 'Hadamard': 17888, 'PauliX': 638}"
4757,655,1,29,133041,"{'CNOT': 838, 'PhaseShift': 3694, 'C_C_PhaseShift': 10721, 'Toffoli': 156, 'ControlledPhaseShift': 101948, 'Hadamard': 15144, 'PauliX': 540}"
4757,655,0,29,156621,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 12153, 'Toffoli': 156, 'ControlledPhaseShift': 120470, 'Hadamard': 17888, 'PauliX': 638}"
4757,1909,1,29,141735,"{'CNOT': 874, 'PhaseShift': 3946, 'C_C_PhaseShift': 11280, 'Toffoli': 156, 'ControlledPhaseShift': 108751, 'Hadamard': 16152, 'PauliX': 576}"
